x
23
26
16
18
37
26
30
25
16
27
9
24
15
35
12
26
12
17
15
14
7
31
21
38
26
26
30
9
17
16
35
20
6
32
28
22
20
18
24
21
15
18
0
29
6
31
25
11
32
25
30
17
27
34
27
24
22
19
22
21
20
31
17
14
17
15
20
18
20
7
11
22
11
33
28
25
10
21
28
19
17
13
31
11
24
31
29
16
22
24
31
18
16
7
21
15
6
22
27
33
17
29
14
11
20
19
27
13
24
27
11
22
30
28
25
23
19
14
24
9
9
28
15
27
22
24
25
26
29
31
18
13
26
19
23
22
25
12
21
9
24
29
12
19
29
16
31
23
20
10
36
28
28
20
33
24
10
10
9
15
32
24
31
20
24
30
31
30
28
16
25
30
20
19
32
24
24
21
33
14
5
21
25
19
27
12
24
31
34
16
13
14
15
28
5
36
19
26
15
18
16
20
10
10
30
27
35
27
6
23
15
25
28
14
35
34
14
20
23
26
21
27
22
5
8
36
19
7
14
17
27
14
8
1
17
12
8
9
34
29
18
9
29
24
14
12
8
26
27
19
29
21
25
28
28
4
6
8
27
28
12
3
32
26
19
13
39
15
10
32
33
20
26
31
31
11
25
27
26
16
28
12
32
25
8
23
38
21
8
13
29
22
26
27
30
28
13
18
14
11
14
16
25
10
33
18
17
11
34
18
15
7
14
29
18
2
18
13
25
19
17
20
4
21
34
30
27
22
22
29
7
11
41
14
22
23
24
23
22
27
36
17
33
23
17
32
26
22
19
25
22
12
20
33
31
13
0
24
21
9
25
12
28
22
14
29
13
27
34
9
23
15
20
12
17
23
24
22
18
20
27
21
33
18
21
11
0
13
26
34
23
23
28
22
21
21
8
22
23
25
26
16
32
23
35
9
17
26
26
10
28
10
17
16
7
23
13
12
16
27
21
22
33
22
